シーン番号,可変テキストID,string,posX,Y,LCR,scale,colorR,G,B,A
0,0,Chrono,0,240,1,7,0.2,0.9,0,1
0,0,Bullet,0,60,1,6.5,0.2,0.9,0,1
0,1,Press Enter,0,-250,1,6,0.2,0.9,0,1
1,0,Select Weapon,0,320,1,2,1,1,1,1
1,2,(WEAPONTYPE),0,-75,1,3,1,1,1,1
1,0,DAMAGE,-250,-160,1,2,1,1,1,1
1,0,RATE,0,-160,1,2,1,1,1,1
1,0,SPEED,250,-160,1,2,1,1,1,1
1,0,Start,0,-290,1,2,1,1,1,1
2,0,SCORE,255,270,1,2,1,1,1,1
2,0,LEVEL,-20,345,1,1.25,1,1,1,1
2,3,TIME CHARGE,-380,310,1,1.5,1,1,1,1
3,0,Result,0,230,1,3,1,1,1,1
3,0,TIME,-450,100,0,2,1,1,1,1
3,0,SCORE,-450,-30,0,2,1,1,1,1
3,4,NEW RECORD,-80,0,1,1,0.8,0.8,0,1
3,0,RANK,220,120,1,3,1,1,1,1
3,5,(RANK),220,-20,1,9,1,1,1,1
3,6,Again,-300,-170,1,2,1,1,1,1
3,6,Ranking,0,-170,1,1.5,1,1,1,1
3,6,Title,300,-170,1,2,1,1,1,1
4,0,Ranking,0,275,1,3,1,1,1,1
4,7,(WEAPONTYPE),0,190,1,2.5,1,1,1,1
4,0,Return,0,-280,1,2,1,1,1,1
